ID_UNICO,DIRECTION,MEDIATYPE,QUEUE_ID,QUEUE_NAME,DIVISION_ID,DIVISION_NAME,START_DATE,FINISH_DATE,OFFERED_NUMBER,ANSWERED_NUMBER,ANSWERED_TIME,HANDLE_NUMBER,HANDLE_TIME,ACW_NUMBER,ACW_TIME,ALERT_NUMBER,ALERT_TIME,TACD_NUMBER,TACD_TIME,CONNECTED_NUMBER,CONNECTED_TIME,TALK_NUMBER,TALK_TIME,WAIT_NUMBER,WAIT_TIME,ABANDON_NUMBER,ABANDON_TIME,AGENT_RESPONSE_TIME,AGENT_RESPONSE_NUMBER,HOLD_NUMBER,HOLD_TIME,AVERAGE_AGENT_RESPONSE_NUMBER,AVERAGE_AGENT_RESPONSE_TIME,AVERAGE_CUSTOMER_RESPONSE_NUMBER,AVERAGE_CUSTOMER_RESPONSE_TIME,FIRST_ENGAGEMENT_NUMBER,FIRST_ENGAGEMENT_TIME,FIRST_RESPONSE_NUMBER,FIRST_RESPONSE_TIME,OVER_SLA_NUMBER,ERROR_NUMBER,OUTBOUND_CONNECTED_NUMBER,SHORT_ABANDON_NUMBER,SHORT_ABANDON_TIME,NOT_RESPONDING_NUMBER,NOT_RESPONDING_TIME,BLIND_TRANSFERRED,TRANSFERRED_NUMBER,CONSULT_TRANSFERRED_NUMBER,IVR_NUMBER,IVR_TIME,ACTIVE_CALLBACK_NUMBER,ACTIVE_CALLBACK_TIME,FIRST_DIAL_NUMBER,FIRST_DIAL_TIME,OUTBOUND_NUMBER,OUTBOUND_ATTEMPTED_NUMBER,CONTACTING_NUMBER,CONTACTING_TIME,DIALING_NUMBER,DIALING_TIME,OUTBOUND_ABANDONED_NUMBER,OUTBOUND_ABANDONED_TIME,FECHA_CARGA
outbound_voice_2b361e9f-1853-4362-9891-49575eae91b0_HND OUTB DILO_4ae6a12b-ed77-46f1-8516-0d35bd70d0dc_Dilo_2026-07-01T10:30:00.000-06:00_2026-07-01T11:00:00.000-06:00,outbound,voice,2b361e9f-1853-4362-9891-49575eae91b0,HND OUTB DILO,4ae6a12b-ed77-46f1-8516-0d35bd70d0dc,Dilo,2026-07-01T10:30:00.000-06:00,2026-07-01T11:00:00.000-06:00,,,,2,710778,2,9383,,,,,2,665832,2,665816,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,174,1,18065,,,2026-07-02 10:30:55
outbound_voice_2b361e9f-1853-4362-9891-49575eae91b0_HND OUTB DILO_4ae6a12b-ed77-46f1-8516-0d35bd70d0dc_Dilo_2026-07-01T11:00:00.000-06:00_2026-07-01T11:30:00.000-06:00,outbound,voice,2b361e9f-1853-4362-9891-49575eae91b0,HND OUTB DILO,4ae6a12b-ed77-46f1-8516-0d35bd70d0dc,Dilo,2026-07-01T11:00:00.000-06:00,2026-07-01T11:30:00.000-06:00,,,,3,82184,3,23834,,,,,2,5484,2,5473,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,4,2118,3,50962,,,2026-07-02 10:30:55
outbound_voice_2b361e9f-1853-4362-9891-49575eae91b0_HND OUTB DILO_4ae6a12b-ed77-46f1-8516-0d35bd70d0dc_Dilo_2026-07-01T11:30:00.000-06:00_2026-07-01T12:00:00.000-06:00,outbound,voice,2b361e9f-1853-4362-9891-49575eae91b0,HND OUTB DILO,4ae6a12b-ed77-46f1-8516-0d35bd70d0dc,Dilo,2026-07-01T11:30:00.000-06:00,2026-07-01T12:00:00.000-06:00,,,,19,1163363,19,320964,,,,,9,447463,9,430790,,,,,,,1,16631,,,,,,,,,,,,,,,,,,,,,,,,,19,,19,6406,19,388548,,,2026-07-02 10:30:55
outbound_voice_2b361e9f-1853-4362-9891-49575eae91b0_HND OUTB DILO_4ae6a12b-ed77-46f1-8516-0d35bd70d0dc_Dilo_2026-07-01T12:00:00.000-06:00_2026-07-01T12:30:00.000-06:00,outbound,voice,2b361e9f-1853-4362-9891-49575eae91b0,HND OUTB DILO,4ae6a12b-ed77-46f1-8516-0d35bd70d0dc,Dilo,2026-07-01T12:00:00.000-06:00,2026-07-01T12:30:00.000-06:00,,,,2,49255,2,11380,,,,,2,16860,2,16847,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,254,2,20595,,,2026-07-02 10:30:55
outbound_voice_2b361e9f-1853-4362-9891-49575eae91b0_HND OUTB DILO_4ae6a12b-ed77-46f1-8516-0d35bd70d0dc_Dilo_2026-07-01T13:30:00.000-06:00_2026-07-01T14:00:00.000-06:00,outbound,voice,2b361e9f-1853-4362-9891-49575eae91b0,HND OUTB DILO,4ae6a12b-ed77-46f1-8516-0d35bd70d0dc,Dilo,2026-07-01T13:30:00.000-06:00,2026-07-01T14:00:00.000-06:00,,,,15,620615,15,123870,,,,,6,177266,6,177050,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,,15,4122,15,315573,,,2026-07-02 10:30:55
outbound_voice_2b361e9f-1853-4362-9891-49575eae91b0_HND OUTB DILO_4ae6a12b-ed77-46f1-8516-0d35bd70d0dc_Dilo_2026-07-01T14:00:00.000-06:00_2026-07-01T14:30:00.000-06:00,outbound,voice,2b361e9f-1853-4362-9891-49575eae91b0,HND OUTB DILO,4ae6a12b-ed77-46f1-8516-0d35bd70d0dc,Dilo,2026-07-01T14:00:00.000-06:00,2026-07-01T14:30:00.000-06:00,,,,9,553442,9,88699,,,,,5,353243,5,353240,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,9,,9,2985,9,108518,,,2026-07-02 10:30:55
outbound_voice_2b361e9f-1853-4362-9891-49575eae91b0_HND OUTB DILO_4ae6a12b-ed77-46f1-8516-0d35bd70d0dc_Dilo_2026-07-01T15:00:00.000-06:00_2026-07-01T15:30:00.000-06:00,outbound,voice,2b361e9f-1853-4362-9891-49575eae91b0,HND OUTB DILO,4ae6a12b-ed77-46f1-8516-0d35bd70d0dc,Dilo,2026-07-01T15:00:00.000-06:00,2026-07-01T15:30:00.000-06:00,,,,1,16414,1,11668,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,757,1,3989,,,2026-07-02 10:30:55
outbound_voice_2b361e9f-1853-4362-9891-49575eae91b0_HND OUTB DILO_4ae6a12b-ed77-46f1-8516-0d35bd70d0dc_Dilo_2026-07-01T15:30:00.000-06:00_2026-07-01T16:00:00.000-06:00,outbound,voice,2b361e9f-1853-4362-9891-49575eae91b0,HND OUTB DILO,4ae6a12b-ed77-46f1-8516-0d35bd70d0dc,Dilo,2026-07-01T15:30:00.000-06:00,2026-07-01T16:00:00.000-06:00,,,,12,416342,12,86676,,,,,7,51946,7,51916,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,,12,3683,12,274067,,,2026-07-02 10:30:55
outbound_voice_2b361e9f-1853-4362-9891-49575eae91b0_HND OUTB DILO_4ae6a12b-ed77-46f1-8516-0d35bd70d0dc_Dilo_2026-07-01T16:30:00.000-06:00_2026-07-01T17:00:00.000-06:00,outbound,voice,2b361e9f-1853-4362-9891-49575eae91b0,HND OUTB DILO,4ae6a12b-ed77-46f1-8516-0d35bd70d0dc,Dilo,2026-07-01T16:30:00.000-06:00,2026-07-01T17:00:00.000-06:00,,,,3,56323,3,18808,,,,,1,19322,1,19316,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,5,3247,5,75028,,,2026-07-02 10:30:55
outbound_voice_2b361e9f-1853-4362-9891-49575eae91b0_HND OUTB DILO_4ae6a12b-ed77-46f1-8516-0d35bd70d0dc_Dilo_2026-07-01T17:00:00.000-06:00_2026-07-01T17:30:00.000-06:00,outbound,voice,2b361e9f-1853-4362-9891-49575eae91b0,HND OUTB DILO,4ae6a12b-ed77-46f1-8516-0d35bd70d0dc,Dilo,2026-07-01T17:00:00.000-06:00,2026-07-01T17:30:00.000-06:00,,,,13,2089461,13,86255,,,,,6,1713060,6,1554101,,,,,,,1,158963,,,,,,,,,,1,,,,,,,,,,,,,,,11,,11,2122,11,227944,,,2026-07-02 10:30:55
